,sample_id,tADS,PL,v0,t_press,t_depress,h2o_ppmv,sox_ppmv,nox_ppmv,dust_mg_Nm3,co2_mol_frac,n2_mol_frac_effective,capacity_factor,affinity_factor_co2,mtc_factor,dax_factor,deactivation_index,CO2_purity,CO2_recovery,n_CO2_feed,n_N2_feed,n_CO2_product,n_N2_product,n_CO2_dynamic_product,n_N2_dynamic_product,n_CO2_available,bed_y_CO2_before_blowdown,bed_y_N2_before_blowdown,n_CO2_void_tail,n_N2_void_tail,valid_physics,status_detail,n_cycles,status
12,13,146.44675079641746,0.1976745385582373,0.0250596767396927,43.240247621197625,31.38067194095726,44.32043917161072,0.0635605555145529,0.1869588505631377,0.0119428663816178,0.2064481155666378,0.7935426824328128,0.9084542214381082,0.9446730671433364,0.975960517497858,1.0140118230356685,0.3066016462221201,0.2996947321070818,0.7144114773824455,0.1361892363585055,0.5234591498711838,0.097295153550467,0.2273523731725024,0.6375760060415665,0.2430590836389624,0.6452131321277845,0.1316367990401604,0.8683632009598395,0.0076371260862179,0.0503795238316216,True,ok,10,ok
13,14,81.70419448944874,0.3334385296164477,0.0185555226933001,26.203266756465844,44.76010329482774,33.30485451417002,0.2040251539185302,1.6716810658270034,0.0860078675194209,0.2455166984022822,0.7544746638787185,0.8914365470469883,0.9388403269635855,0.9628476246289348,1.0497071290734692,0.358432447038405,0.2527681125295175,0.7176171384820178,0.0669069386300127,0.2055982931598459,0.0480135658442617,0.1419374741179283,8.456997281646558,0.1356838276637104,8.65154197822372,0.7964502365814127,0.2035497634185873,0.1945446965771634,0.0497200266178521,True,ok,10,ok
14,15,79.56347467059335,0.2318080688252734,0.018868436583843,32.27153929324883,61.43115384094644,90.90010813473366,0.7872113530776019,2.723501068353494,0.0029339881399152,0.1512651301967989,0.8487205873897233,0.8550272591614376,0.9014108687192712,0.9553910797355692,1.01656271208627,0.4896232427461819,0.1352682535155382,0.616313840483706,0.0408212958190415,0.2290190949828757,0.0251587295997549,0.1608326537876631,11.79575962588216,0.1557593734669722,11.998350393738734,0.7916184842361487,0.2083815157638513,0.2025907678565747,0.0533289357517351,True,ok,10,ok
15,16,101.81023327241928,0.3486804517373981,0.0290489885614382,40.73577520129884,64.65986923788537,66.32371060883575,0.2665220569394153,8.624299897252959,0.0399991587733329,0.1566896118534342,0.8432986019241574,0.8661442151017663,0.9190249621900234,0.9645342439817238,1.0443693535540222,0.4654605178031797,0.2202749660533008,0.6064192047768806,0.0833014610495219,0.4482921435538303,0.0505156057664033,0.1788141572634086,4.181850488693762,0.1699197825320866,4.23237130043641,0.4697371608003683,0.5302628391996316,0.050520811742648,0.0570304232002452,True,ok,10,ok
16,17,177.6079136948619,0.2033577854213903,0.0103039684293787,25.21818193855005,54.055682230733055,49.24408997508373,0.9526589955273386,3.0869759751638,0.0388395335163034,0.2431555943538597,0.7568314487199385,0.8509269843727802,0.8993079898029316,0.949139877620153,1.0321388290183515,0.4902364203379434,0.2849483410697499,0.7120706364718279,0.0799892341964876,0.2489564036148862,0.056957984905187,0.1429308254362102,12.842283588343603,0.1405361894254432,13.007494176731305,0.7783183950158115,0.2216816049841885,0.1652105883876983,0.047055483499684,True,ok,10,ok
17,18,174.41159847950144,0.3278299672881661,0.0256353773169507,39.39567764347567,59.22330633975892,29.33581916088843,0.2391410876744704,7.503045352751317,0.0857184154833406,0.2274941109745921,0.7724974536847213,0.877277146387348,0.929711969792963,0.9626792031342156,1.0609731806135747,0.4125439273402562,0.46343519981104,0.6902947018183453,0.1828347059685037,0.6208253362146147,0.1262098288385731,0.1461256107008352,7.053927855264952,0.1346661177720657,7.1595322004934365,0.672680177629081,0.3273198223709189,0.1056043452284843,0.0513860771750654,True,ok,10,ok
18,19,73.87486918689082,0.3042181052776559,0.0106481761010094,28.622403399164867,61.60483065070411,55.3454787842446,0.8576306037892611,2.1846768652458204,0.0904153937963333,0.2180389792550581,0.7819482891882588,0.8482111017098621,0.9038202136683026,0.943158373689534,1.0537917017973557,0.5014387861669962,0.1339202292878166,0.66639194775877,0.0308310806750509,0.1105623555895676,0.020545583902555,0.132870998579537,11.096851659422144,0.1257987600922618,11.151809585973638,0.5310383811737301,0.4689616188262698,0.0549579265514946,0.0485335130503353,True,ok,10,ok
19,20,118.87392162354423,0.2619100680727168,0.0302704368940809,56.799624864355096,53.87801157231903,35.10741641716864,0.052976340833132,8.038078128643393,0.0544956236856522,0.1622584658694227,0.8377345245101583,0.8869121163834532,0.93558858813805,0.9710732705199384,1.0483703778783846,0.3875667279436278,0.256252218669257,0.64287865936158,0.1049515134093419,0.5418374174616136,0.0674710882385666,0.195828439816061,3.8231599375894314,0.193788337083851,3.84924189595434,0.3230648505060161,0.6769351494939839,0.0260819583649098,0.0546509295492588,True,ok,10,ok
20,21,104.51642782805456,0.1800416270943555,0.0243257926650951,22.686338747334208,37.6276528861314,78.71054265099052,0.035691210430809,1.7487627669535832,0.062951419639369,0.2381039883058968,0.7618768439714615,0.8885041778654272,0.9380788903959528,0.9659473062465296,1.0413127445903412,0.3863648267089672,0.3537477738571808,0.7343741897910866,0.1088204426397289,0.3481718316718339,0.0799149243962583,0.1459944107350562,14.102810296182865,0.1427014551658255,14.242038411288494,0.7473363191800942,0.2526636808199057,0.1392281151056306,0.0470710269705612,True,ok,10,ok
21,22,100.02683985437832,0.2850478817280186,0.0178617108449081,22.194773144552983,30.58318490273437,14.18828014477182,0.706009608367203,4.133088805595959,0.0684258059565861,0.1984950486213037,0.8015011744663993,0.8769444773567776,0.9205033066740532,0.9573488734856492,1.0449525964563289,0.3877634480528897,0.2214196115304126,0.671733729330475,0.0637462796681431,0.2573955683845172,0.0428205261724252,0.1505703206295243,9.691914356164643,0.1460165790115674,9.87417842759331,0.7788372487919689,0.221162751208031,0.1822640714286659,0.0517566713020781,True,ok,10,ok
22,23,125.49102715880112,0.1739938786018794,0.02732438638103,21.09256124603547,43.40667008844256,31.33807988347592,0.3819586275864831,6.642331634291663,0.0057565845576925,0.2397577248819203,0.7602330770906344,0.8831743821398945,0.9239530313445092,0.970756806091872,1.0234074225334695,0.390225770247103,0.3985440597019208,0.735039955557448,0.1477779579519467,0.4685620949577215,0.1086227036453693,0.1639260924064661,11.152811320653084,0.163657848398917,11.195192095839015,0.4715250978295821,0.5284749021704179,0.0423807751859335,0.0474994356045655,True,ok,10,ok
23,24,117.41868391988544,0.2522479504033447,0.0176978824658549,59.842898247296205,71.44515190757332,69.08424394111914,0.7187665171234869,1.5889872541088212,0.0998684243315478,0.1601927292946105,0.8397958334098948,0.8514432950534945,0.9088350992390336,0.944030058639266,1.0573269713705802,0.4959262692361904,0.1879090377090967,0.6196836911673369,0.0598397294466846,0.3136819505467528,0.0370817044219763,0.160256884897941,10.51795197065092,0.1538796974428269,10.694148238460874,0.7672564881680021,0.2327435118319979,0.1761962678099539,0.0534482780845516,True,ok,10,ok
